Country;2018;2019;2020;2021;2022;2023;2024
AT;445.4910151;445.4910151;445.4910151;445.4910151;445.4910151;445.4910151;445.4910151
FR;1460.76421;1460.76421;1460.76421;1460.76421;1460.76421;1460.76421;1460.76421
DE;4052.899;4052.899;4052.899;4052.899;4052.899;4052.899;4052.899
PL;623.6874211;623.6874211;623.6874211;623.6874211;623.6874211;623.6874211;623.6874211
ES;1317.762423;1317.762423;1317.762423;1317.762423;1317.762423;1317.762423;1317.762423
BE;1995.799748;1995.799748;1995.799748;1995.799748;1995.799748;1995.799748;1995.799748
CZ;484.6942244;484.6942244;484.6942244;484.6942244;484.6942244;484.6942244;484.6942244
FI;356.3928121;356.3928121;356.3928121;356.3928121;356.3928121;356.3928121;356.3928121
HU;488.056;488.056;488.056;488.056;488.056;488.056;488.056
IT;864.2525692;864.2525692;864.2525692;864.2525692;864.2525692;864.2525692;864.2525692
NL;1499.757;1499.757;1499.757;1499.757;1499.757;1499.757;1499.757
NO;579.1383196;579.1383196;579.1383196;579.1383196;579.1383196;579.1383196;579.1383196
PT;365.3026324;365.3026324;365.3026324;365.3026324;365.3026324;365.3026324;365.3026324
SK;109.088629;109.088629;109.088629;109.088629;109.088629;109.088629;109.088629
SE;570.2284993;570.2284993;570.2284993;570.2284993;570.2284993;570.2284993;570.2284993
GB;1309.743584;1309.743584;1309.743584;1309.743584;1309.743584;1309.743584;1309.743584
BG;222.7455075;222.7455075;222.7455075;222.7455075;222.7455075;222.7455075;222.7455075
RS;178.196406;178.196406;178.196406;178.196406;178.196406;178.196406;178.196406
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
