Plant;Ethylene [kt/a];Name plate capacity [kt/a];Country;Latitude;Longitude;Propylene Production;Butadiene Production;Aromatics
OMV Downstream GmbH;445.4910151;500;Austria;48.144722;16.493889;290.5954182;68.74861344;272.7482202
RAFFINERIE DE FEYZIN;95.72443477;250;France;45.67743;4.86113;62.44139884;14.77228932;58.60650009
OMV Deutschland Operations GmbH & Co. KG, Werk Burghausen;196.3398485;450;Germany;48.19300392;12.83652688;128.0732011;30.29935933;120.2074619
Raffinerie Heide GmbH;84.7445564;110;Germany;54.16075;9.07971;55.27918402;13.07786364;51.8841596
Polski Koncern Naftowy ORLEN S.A.;623.6874211;700;Poland;52.58617;19.67325;334.150771;81.826543;267.2932558
REPSOL PETROLEO S.A.;65.6768685;102;Spain;38.672;-4.0497;37.53980737;9.095475735;28.14708685
TotalEnergies Olefins Antwerp;1055.872368;1160;Belgium;51.2549;4.33203;362.3121344;97.65566663;290.9021389
BASF ANTWERPEN;939.9273791;1080;Belgium;51.36175;4.27224;613.1180665;145.0505215;575.4628289
ORLEN Unipetrol RPA;484.6942244;544;Czechia;50.56136055;13.61185648;224.9623156;56.52381342;207.7250445
Borealis Polymers Oy, Petrokemian laitokset;356.3928121;400;Finland;60.30049;25.5211;194.118839;47.47533388;130.9191457
TOTALENERGIES PETROCHEMICALS FRANCE;322.941059;525;France;49.50488;0.20609;210.6556337;49.83658318;197.7180147
NAPHTACHIMIE;537.4797048;740;France;43.38438;5.01737;350.5999769;82.94439889;329.067541
VERSALIS FRANCE SAS (ROUTE DES DUNES);197.164015;380;France;51.03032;2.2455;128.6108079;30.42654552;120.7120511
BASELL POLYOLEFINES FRANCE;307.4549965;470;France;43.50295;5.16206;200.5540185;47.44675872;188.2368
Ruhr Oel GmbH Werk Horst;552.1536867;1073;Germany;51.53961;7.0372;360.1718689;85.20890227;338.0515661
Shell Deutschland Oil GmbH, Rheinland Raffinerie, Werk Süd;82.25784082;310;Germany;50.81411;7.00576;53.65709036;12.69411124;50.36168839
Basell Polyolefine GmbH, Standort Münchsmünster;263.2785791;400;Germany;48.75855141;11.70864002;171.7375799;40.62941035;161.1901507
Basell Polyolefine GmbH Werk Wesseling;854.6106258;1040;Germany;50.84233;6.96312;557.4656363;131.8843558;523.2283464
INEOS Manufacturing Deutschland GmbH;1009.234553;1155;Germany;51.06764;6.84674;658.3273896;155.746073;617.8955778
BASF SE;534.9152083;620;Germany;49.51739;8.42345;348.9271464;82.54864326;327.4974491
Dow Olefinverbund GmbH Werk Böhlen;475.3641012;565;Germany;51.19143;12.3561;310.0817415;73.35865759;291.0377721
MOL Petrolkémia Zrt.;488.056;660;Hungary;47.910679;21.033317;187.0406841;49.55977042;0
Versalis S.p.A.;392.0320933;440;Italy;40.6395;18.0022;255.723968;60.49877982;240.0184338
Versalis S.p.A. Priolo;472.220476;530;Italy;37.167;15.1973;308.0311433;72.87353024;289.1131134
Shell Nederland Chemie BV (Moerdijk);612.8039355;910;Netherlands;51.68786;4.56212;342.0242705;83.24909648;243.8697193
Dow Benelux BV (Hoek);886.9530645;1916;Netherlands;51.34225;3.78247;506.9676424;122.8325933;380.1208175
NORETYL AS;579.1383196;650;Norway;59.09613;9.593346;14.51684637;16.58802161;0
Repsol Polimeros , Lda. (CI);365.3026324;410;Portugal;37.984145;-8.83258;9.156780015;10.46321363;0
Slovnaft Petrochemicals, s.r.o.;109.088629;220;Slovakia;48.124164;17.171301;71.1589116;16.83466497;66.78861839
REPSOL QUIMICA;573.2884358;702;Spain;41.194305;1.226122;327.6821495;79.39372226;245.6938
DOW CHEMICAL IBERICA (DOW NORD);678.7971183;675;Spain;41.178667;1.220202;387.9891603;94.00543691;290.9115779
Borealis Krackeranl.;570.2284993;640;Sweden;58.08325;11.82554;371.9621353;87.9982252;349.1177219
INEOS Chemicals Grangemouth Ltd;623.6874211;700;United Kingdom;56.00704;-3.68727;15.63352686;17.86402327;0
ExxonMobil Chemical Limited, Mossmorran;686.0561632;0;United Kingdom;56.09354;-3.31055;17.19687954;19.6504256;0
Lukoil Neftohim Burgas AD;222.7455075;770;Bulgaria;42.54544;27.336508;145.2977091;34.37430672;136.3741101
Naftna Industrija Srbije Pancevo Refinery;178.196406;200;Serbia;44.837531;20.667373;116.2381673;27.49944537;109.0992881
